record_type,lease,local_id,local_id_origin,canonical_id,canonical_operation_id,operation_sha256,authority_sha256,source_locator
source_defect,A,INJECTIVES-A-D001,source,INJECTIVES-CH19-D001,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:69
source_defect,A,INJECTIVES-A-D002,source,INJECTIVES-CH19-D002,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:71
source_defect,A,INJECTIVES-A-D003,source,INJECTIVES-CH19-D003,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:172
source_defect,B,INJECTIVES-B-D001,source,INJECTIVES-CH19-D004,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:741
source_defect,B,INJECTIVES-B-D002,source,INJECTIVES-CH19-D005,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:913
source_defect,B,INJECTIVES-B-D003,source,INJECTIVES-CH19-D006,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:936
source_defect,B,INJECTIVES-B-D004,source,INJECTIVES-CH19-D007,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:959-961
source_defect,B,INJECTIVES-B-D005,source,INJECTIVES-CH19-D008,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:973-974
source_defect,B,INJECTIVES-B-D006,source,INJECTIVES-CH19-D009,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1230-1231
source_defect,B,INJECTIVES-B-D007,source,INJECTIVES-CH19-D010,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1233-1234
source_defect,C,INJECTIVES-C-D001,source,INJECTIVES-CH19-D011,INJECTIVES-CH19-OP001,C26B5B7433E224DE2926370599E5075D1F7FCE7E4341FE7CFCCDA5F2D3C005AC,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1371
source_defect,C,INJECTIVES-C-D002,source,INJECTIVES-CH19-D012,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1494
source_defect,C,INJECTIVES-C-D003,source,INJECTIVES-CH19-D013,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1644
source_defect,C,INJECTIVES-C-D004,source,INJECTIVES-CH19-D014,INJECTIVES-CH19-OP002,E3BE24B94E2D5292A8CC0B769FD3BB37479EC47ABB97CC04C31F9426843189AA,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1663
source_defect,C,INJECTIVES-C-D005,source,INJECTIVES-CH19-D015,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1711
source_defect,C,INJECTIVES-C-D006,source,INJECTIVES-CH19-D016,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1758
source_defect,C,INJECTIVES-C-D007,source,INJECTIVES-CH19-D017,INJECTIVES-CH19-OP003,BBB8DC2F03CBA6273ABFB307A592E1E45F678D0AF09CBC9BC8CF76BDEF93EF18,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1794
source_defect,C,INJECTIVES-C-D008,source,INJECTIVES-CH19-D018,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1869
source_defect,C,INJECTIVES-C-D009,source,INJECTIVES-CH19-D019,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1882
source_defect,C,INJECTIVES-C-D010,source,INJECTIVES-CH19-D020,INJECTIVES-CH19-OP004,11AF34B6A4B47AE8AA5C118DDCAF657B968BCF98371D15424E6303F5A80F93B1,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1883
source_defect,C,INJECTIVES-C-D011,source,INJECTIVES-CH19-D021,INJECTIVES-CH19-OP005,43760530284DD4975C9253A6832233852AADCC485321116CAB39529B88BF15A7,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1920
source_defect,C,INJECTIVES-C-D012,source,INJECTIVES-CH19-D022,,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:1956
source_defect,D,INJECTIVES-D-001,source,INJECTIVES-CH19-D023,INJECTIVES-CH19-OP006,936988565B3A222DEDA76FAEC71535C324EE406F46281B03B5F13464817E8A42,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:2149
source_defect,D,INJECTIVES-D-002,source,INJECTIVES-CH19-D024,INJECTIVES-CH19-OP007,D84553507B130A572F0609237060EF24F2588F39D4889E09435C42C629614319,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:2206
source_defect,D,INJECTIVES-D-003,source,INJECTIVES-CH19-D025,INJECTIVES-CH19-OP008,3C005C035258C60E2103E1456CB1CC5DEE501390793EEE13BDC22D72D9EF5CA5,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:2214
source_defect,D,INJECTIVES-D-004,source,INJECTIVES-CH19-D026,INJECTIVES-CH19-OP009,CEF38467B1D23A57AD7C52DAC1E1C29880F2853D7B4E4A6DC9691004B1C48047,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex:2410
